mls_id,style,street,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,livability_score,amenities,commute,cost_of_living,crime,employment,health,housing,schools,ratings
41042491,single family,3  Avocet Ct,Alameda,CA,94501,4.0,2.0,1.0,1679.0,1998.0,52.0,998000,2023-10-20,1055000.0,2023-12-11,3277.0,628.0,37.777815999999994,-122.280662,2.0,295.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41039405,townhomes,1204  Porta Ballena,Alameda,CA,94501,3.0,2.0,1.0,1732.0,1973.0,83.0,999950,2023-09-16,1100000.0,2023-12-08,146361.0,635.0,37.768589,-122.28533200000001,2.0,650.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81947334,townhomes,473  Diller St,Alameda,CA,94501,4.0,3.0,1.0,2303.0,2016.0,29.0,1098000,2023-11-08,1180000.0,2023-12-07,9983.0,512.0,37.789775,-122.27863,3.0,350.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41041288,single family,353  Channing Way,Alameda,CA,94502,3.0,2.0,0.0,1757.0,1985.0,25.0,1468000,2023-11-10,1498000.0,2023-12-05,5500.0,853.0,37.741061,-122.24826499999999,1.0,295.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81941037,townhomes,354  Tideway Dr,Alameda,CA,94501,3.0,2.0,1.0,1547.0,1972.0,88.0,1395000,2023-09-07,1215000.0,2023-12-04,2686.0,785.0,37.770092,-122.28644399999999,1.0,918.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41042401,single family,1130  Fountain St,Alameda,CA,94501,2.0,2.0,0.0,1217.0,1925.0,40.0,895000,2023-10-19,1327000.0,2023-11-28,3430.0,1090.0,37.755148999999996,-122.236372,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
WS23155979,townhomes,3115  El Paseo,Alameda,CA,94502,3.0,2.0,1.0,1628.0,1968.0,93.0,899000,2023-08-21,850000.0,2023-11-22,1650.0,522.0,37.73324,-122.246023,2.0,550.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41037725,single family,1518  Fernside Blvd,Alameda,CA,94501,3.0,1.0,0.0,1635.0,1915.0,47.0,1299999,2023-08-31,1200000.0,2023-10-17,4750.0,734.0,37.757528,-122.22653500000001,2.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
223065015,townhomes,1005  Tahiti Ln,Alameda,CA,94502,3.0,2.0,1.0,1694.0,1972.0,38.0,875000,2023-08-07,970000.0,2023-09-14,1694.0,573.0,37.735787,-122.242148,2.0,450.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81938710,townhomes,1049  Via Bonita,Alameda,CA,94502,3.0,2.0,1.0,1628.0,1969.0,25.0,849000,2023-08-18,940000.0,2023-09-12,1730.0,577.0,37.736052,-122.248566,2.0,555.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
223072812,single family,2823  Fernside Blvd,Alameda,CA,94501,3.0,2.0,0.0,1336.0,1939.0,39.0,1195000,2023-08-03,1325000.0,2023-09-11,3999.0,992.0,37.766701,-122.23100500000001,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81933019,single family,1342  8th St,Alameda,CA,94501,4.0,1.0,1.0,1661.0,1912.0,77.0,1150000,2023-06-23,937232.0,2023-09-08,3955.0,564.0,37.770522,-122.272547,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81938322,single family,2105  San Jose Ave,Alameda,CA,94501,3.0,2.0,0.0,2402.0,1910.0,24.0,1595000,2023-08-14,1950000.0,2023-09-07,6450.0,812.0,37.763886,-122.251825,3.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
223003061,single family,1841  Wood St,Alameda,CA,94501,3.0,2.0,0.0,1730.0,1947.0,26.0,1088000,2023-07-28,1200000.0,2023-08-23,5200.0,694.0,37.77835,-122.269601,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81929225,single family,117  Sheffield Rd,Alameda,CA,94502,4.0,2.0,1.0,2496.0,1988.0,49.0,1795000,2023-05-29,2030000.0,2023-07-17,5000.0,813.0,37.74608,-122.250684,2.0,252.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81931065,single family,3553  McSherry Way,Alameda,CA,94502,3.0,2.0,1.0,1632.0,1986.0,20.0,1099000,2023-06-08,1305000.0,2023-06-28,4033.0,800.0,37.729766999999995,-122.235049,2.0,135.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
OC23014428,single family,19  Powers Ct,Alameda,CA,94501,3.0,2.0,0.0,1621.0,1894.0,117.0,969999,2023-01-28,1000000.0,2023-05-25,3150.0,617.0,37.773846,-122.25998100000001,3.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81925394,townhomes,1037  Fontana Dr,Alameda,CA,94502,2.0,1.0,1.0,1180.0,1968.0,34.0,699888,2023-04-20,785000.0,2023-05-24,1500.0,665.0,37.736067,-122.24786999999999,2.0,555.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
223000756,townhomes,3312  Fir Ave,Alameda,CA,94502,3.0,2.0,1.0,1673.0,1970.0,96.0,910000,2023-01-05,885000.0,2023-04-11,1694.0,529.0,37.732577,-122.241077,2.0,450.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81918191,townhomes,3215  Fiji Ln,Alameda,CA,94502,3.0,2.0,1.0,1649.0,1970.0,49.0,900000,2023-02-09,907000.0,2023-03-30,1694.0,550.0,37.731688,-122.24355600000001,2.0,450.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
ML81955014,single family,10470  Westacres Dr,Cupertino,CA,95014,3.0,2.0,0.0,1514.0,1961.0,26.0,2698000,2024-02-22,3350000.0,2024-03-19,7405.0,2213.0,37.316081,-122.037318,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81954933,single family,1113  Stafford Dr,Cupertino,CA,95014,4.0,2.0,1.0,2094.0,1966.0,27.0,3588000,2024-02-21,3600000.0,2024-03-19,7405.0,1719.0,37.306131,-122.04718700000001,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81954537,single family,10380 N Stelling Rd,Cupertino,CA,95014,5.0,5.0,0.0,3778.0,2019.0,31.0,4487000,2024-02-16,4360000.0,2024-03-18,9374.0,1154.0,37.328477,-122.041142,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81942412,condos,22483  McClellan Rd,Cupertino,CA,95014,3.0,2.0,1.0,1641.0,1982.0,42.0,1199000,2024-02-02,2100000.0,2024-03-15,2898.0,1280.0,37.314156,-122.068036,2.0,450.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81954201,single family,10703  Pebble Pl,Cupertino,CA,95014,5.0,3.0,0.0,2611.0,1968.0,30.0,3588000,2024-02-14,3588000.0,2024-03-15,7405.0,1374.0,37.333038,-122.047572,2.0,0.0,3.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81953518,single family,21593  LA Playa Ct,Cupertino,CA,95014,4.0,2.0,1.0,2174.0,1966.0,37.0,3595000,2024-02-06,4060000.0,2024-03-14,7405.0,1868.0,37.302151,-122.052595,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81953499,single family,20173  Somerset Dr,Cupertino,CA,95014,3.0,2.0,1.0,1782.0,1963.0,31.0,2798000,2024-02-06,3300000.0,2024-03-08,6970.0,1852.0,37.317640000000004,-122.0265,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952506,single family,10275  Farallone Dr,Cupertino,CA,95014,4.0,2.0,0.0,1786.0,1963.0,42.0,2888000,2024-01-26,3300000.0,2024-03-08,6970.0,1848.0,37.318698,-122.027505,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952991,single family,10185  Empire Ave,Cupertino,CA,95014,4.0,3.0,1.0,2741.0,2009.0,35.0,3788000,2024-01-31,3820000.0,2024-03-06,7047.0,1394.0,37.32561,-122.052352,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81954479,single family,18891  Newsom Ave,Cupertino,CA,95014,5.0,3.0,1.0,2840.0,1998.0,6.0,3288000,2024-02-28,3650000.0,2024-03-05,5227.0,1285.0,37.311060999999995,-122.00230400000001,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81953744,single family,10094  Bret Ave,Cupertino,CA,95014,5.0,4.0,1.0,3368.0,2003.0,26.0,3388000,2024-02-08,4150000.0,2024-03-05,9375.0,1232.0,37.321501,-122.00405400000001,1.0,0.0,3.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952922,single family,10441  Corte De Seville,Cupertino,CA,95014,3.0,2.0,0.0,1032.0,1955.0,33.0,2238000,2024-01-31,2480000.0,2024-03-04,6970.0,2403.0,37.316656,-122.011749,1.0,0.0,1.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81954562,condos,10242  Nile Dr,Cupertino,CA,95014,2.0,2.0,0.0,1154.0,1986.0,17.0,1088000,2024-02-16,1100000.0,2024-03-04,1056.0,953.0,37.320242,-122.027282,1.0,579.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81951810,single family,22666  San Juan Rd,Cupertino,CA,95014,3.0,3.0,1.0,1767.0,1935.0,43.0,2888888,2024-01-18,3100000.0,2024-03-01,13504.0,1754.0,37.311774,-122.07178799999998,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952924,single family,10325  Bonny Dr,Cupertino,CA,95014,4.0,2.0,0.0,1780.0,1961.0,29.0,2658000,2024-01-31,3450000.0,2024-02-29,7841.0,1938.0,37.318174,-122.03876699999999,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81955515,single family,19831  Price Ave,Cupertino,CA,95014,4.0,2.0,0.0,2002.0,1968.0,2.0,3500000,2024-02-27,3420000.0,2024-02-29,8276.0,1708.0,37.320896999999995,-122.020293,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81949235,single family,1134  Kentwood Ave,Cupertino,CA,95014,3.0,2.0,0.0,1190.0,1961.0,82.0,2399000,2023-12-06,2320000.0,2024-02-26,5663.0,1950.0,37.305289,-122.03579099999999,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952311,single family,20739  Scofield Dr,Cupertino,CA,95014,4.0,2.0,0.0,1711.0,1951.0,29.0,2488000,2024-01-24,3320000.0,2024-02-22,13752.0,1940.0,37.321402,-122.036736,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952356,single family,7642  Peach Blossom Dr,Cupertino,CA,95014,3.0,2.0,0.0,1298.0,1962.0,27.0,2499950,2024-01-25,2950000.0,2024-02-21,6953.0,2273.0,37.298962,-122.03935,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81951500,single family,1195  Stafford Dr,Cupertino,CA,95014,4.0,3.0,1.0,3075.0,1999.0,35.0,3788888,2024-01-16,4320000.0,2024-02-20,7119.0,1405.0,37.302510999999996,-122.04973000000001,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81953176,single family,10398  Heney Creek Pl,Cupertino,CA,95014,4.0,2.0,0.0,2115.0,1979.0,13.0,3625000,2024-02-02,3625000.0,2024-02-15,13504.0,1714.0,37.327664,-122.06958700000001,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81950270,single family,20219  Somerset Dr,Cupertino,CA,95014,4.0,2.0,0.0,1726.0,1963.0,48.0,2888888,2023-12-28,3052000.0,2024-02-14,6970.0,1768.0,37.317665000000005,-122.026996,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81952870,single family,10870 E Estates Dr,Cupertino,CA,95014,4.0,2.0,0.0,1592.0,1958.0,15.0,2198000,2024-01-30,2630000.0,2024-02-14,6970.0,1652.0,37.30993,-122.020829,1.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81951648,townhomes,19945  Brenda Ct,Cupertino,CA,95014,2.0,2.0,1.0,1343.0,1978.0,26.0,1348000,2024-01-17,1550000.0,2024-02-12,1742.0,1154.0,37.322047999999995,-122.022453,2.0,390.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
ML81950934,single family,939  Providence Ct,Cupertino,CA,95014,6.0,2.0,1.0,2867.0,1963.0,34.0,3288000,2024-01-09,3955000.0,2024-02-12,10890.0,1379.0,37.312505,-122.05242199999999,2.0,0.0,2.0,87,A+,A+,F,A,A+,A+,B,A+,A+
